mint,deployer,name,symbol,uri,block_time,block_slot,tx_fee,compute_units,has_dev_buy_same_tx,n_instructions,label
4NVmLnseYzgVmjy4cwKYUWxW3Hhgo4FYYpTDPQM1pump,3s38t4Mn4Tdn4NEQ8T68XRKugjwwJzHnb4QHFopwQttj,NORI,NORI,https://ipfs.io/ipfs/QmdXqhxddJ8nbcSgrobshAR1cb6nV7FRnN4s6wxz9A4Sy3,1773305601,405882106,10000,193142,True,5,1
7CbvCmSXiK28aCR1o2FVrrcPpYdQBpqmZAEfMBpcpump,DVRk9cTvWJFVPwvQGsW8bZBqSebT2qvjx7kPDSmGzspw,Zoro,ZORO,https://meta.uxento.io/data/b8440130-f065-4811-a950-0f2d5628cb78,1773307861,405887913,10000,222655,True,6,1
Avv5byrjQdgvWeFGvfFtQ7xQfd9WSb3sWXpoRFWmpump,14gFU9mUJHfh7NMQJTis8QT99Cey3gAFWeiZ2MXgAvJY,test,test,https://ipfs.io/ipfs/bafkreiany5n2xyiu26hk3tia5poqzmk4pmvcbz5b76rameiheorxhgsry4,1773308289,405889016,143240,199860,True,5,1
J4tPxma8GH8kDtLWfWhu8EmoB9R1S1ZjE4WWp9mKpump,14gFU9mUJHfh7NMQJTis8QT99Cey3gAFWeiZ2MXgAvJY,test,test,https://ipfs.io/ipfs/bafkreiany5n2xyiu26hk3tia5poqzmk4pmvcbz5b76rameiheorxhgsry4,1773308751,405890211,75621,196862,True,5,1
DvtMhUip1EBRVSX2poAsdGkarcAARA6KZfM6vWJEpump,H3FceQxdL8LEtGqtzb5Cd3AtCbgN1J77wN9uXencSf2G,The Cult of 𒅒𒈔𒅒,𒅒𒈔𒅒,https://meta.uxento.io/data/a0b0e684-9112-4df5-9922-2ad9a668e182,1773309111,405891132,10000,206244,True,6,1
2HVZZjPG5BWBsgQ7SeCoRTpJDSoewqzJQinb9uDQpump,36A6mEN5rYJdVTb6fMqVvG6ez8g2mTYdr1omWcQ1kDKG,Slime Simulator,Slime,https://meta.uxento.io/data/044c100f-d99b-4628-8aa3-1be823ae42e2,1773309208,405891386,10000,217721,True,6,1
4k56wTjLfmN77vG8bA3fnJoMmHarBi3LjM51cLTwpump,Dm2U8z5f9FWd1JUmDijCMPkP96URAeBEX17oo5Udrd64,MetaClaw,MetaClaw,https://meta.uxento.io/data/0f06f2c8-52c6-4e99-970a-119a86c97f04,1773310068,405893601,10000,197135,True,6,1
6KvUiUEtYCgbrvWVmsnQeLYsnb4HEE5MRKc1mSiZR2Cp,HTM87R4mgjDdiF6Yfn8duK9vbDmZxiPCTRbGvm7eCAJY,ポポポ,POPOPO,https://ipfs.extraction.live/ipfs/6KvUiUEtYCgbrvWVmsnQeLYsnb4HEE5MRKc1mSiZR2Cp,1773310100,405893684,1510000,195584,True,6,1
FiLYatp5EYh83BBZByjwUyusaAsRVh8pshEsqubVpump,Dm2U8z5f9FWd1JUmDijCMPkP96URAeBEX17oo5Udrd64,APILayer,APILAYER,https://meta.uxento.io/data/b1687ad7-a06d-42d8-a26b-263773444532,1773310381,405894394,10000,221135,True,6,1
6HJpy75srcDHNHw3LVd5zc8sTnt3LvMoQZNsH7G3pump,HC8DwnaXXLvyrBu9MWoj1RE3cdV5ong1QJrXChoa7P6m,astral,astral,https://ipfs.io/ipfs/bafkreiblrjsoblaqdoh7zx6osusbqld7jbyaqek3jlyhtxnld7gdzy5uhy,1773310902,405895734,39795,187980,True,5,1
H3RxYSqzF5mo3nqTjK5S6utkW1xQWGCwTy4YzrgNFCs6,HTM87R4mgjDdiF6Yfn8duK9vbDmZxiPCTRbGvm7eCAJY,Snowball,Snowball,https://ipfs.extraction.live/ipfs/H3RxYSqzF5mo3nqTjK5S6utkW1xQWGCwTy4YzrgNFCs6,1773311156,405896385,1510000,201058,True,6,1
6Qutk6wDWb3KzZ7isQLVyj1VPL6KyiwTJwDQQddwpump,7cFrgVvQi25eFiC7dpKSuzTzXi2KzF3Bj2fw2h2RwMqc,Full Distorted,FULLDIS,https://ipfs.io/ipfs/Qme2C51y8muPJigH7imGyHfYnGSPSqz79AtCysRVsX3TLU,1773312311,405899338,10000,212328,True,4,1
9PTofuWxSrVVas8JbhkWnfA69GeMsnBv7FYpqd7dpump,3vDNo8jDPaG6q89k2A55wN7vGSSij1VDuo4E3ebezrTX,The Elon Build,BUILD,https://meta.uxento.io/data/bed1e39c-7a3b-4c36-a920-3d52fe83e2f7,1773312611,405900110,10000,214376,True,6,1
BFP1rYYih2mxifm8yLy6N2tWiQnebW1Z2HtM7A8opump,ENpRqG1tjs5XQj6tW5isnCpP1wDuh7bd6NDRSpN36Wag,imagine,imagine,https://meta.uxento.io/data/078ae18b-e7d5-4775-acbb-471e8bcc8fb6,1773312689,405900307,10000,201037,True,6,1
AjHwgeVQwN85VVZmhLVGi6URVAMzS5YEaUFMWtwfpump,7cFrgVvQi25eFiC7dpKSuzTzXi2KzF3Bj2fw2h2RwMqc,Really Distorted,RLYDIS,https://ipfs.io/ipfs/QmZmyXbKMhZreoC77MCwCKzwZdTUeVvQL4e6Y1iLeExyyr,1773312717,405900378,10000,204334,True,4,1
FQqokufanqmiUgHFRSF1ra15sUAzsFdnAbxKP4tZpump,5zwN9NQei4fctQ8AfEk67PVoH1jSCSYCpfYkeamkpznj,BLACK MAN,BLACK,https://meta.uxento.io/data/c05f4cba-7e15-453f-a44f-3cdeea20d157,1773313097,405901360,10000,214129,True,6,1
