mint,n_buy_txs,n_sell_txs,entry_slot,entry_time,exit_slot,exit_time,sol_spent,sol_received,roi,has_sold,hold_time_sec
WQmwwpuHtxbyPtFhGgNrN2vgF72NNusL34bmw92pump,1,2,434867857,1784873788,434867861,1784873790,1.345,-0.002,-1.0014869888475837,True,2
B6FxXbLznnu5PwLqXCpJVbim7HJyJ3uh9vYs26H2pump,1,2,434866907,1784873391,434866913,1784873393,1.314925,-0.0004,-1.0003041998593076,True,2
3kpnqrzGFZCsQ6Yyzk1GzzU234KVUzw64ykhTMbqpump,1,2,434866823,1784873356,434866830,1784873359,1.3,-0.0004,-1.0003076923076923,True,3
AXRmMrLvdZKj8iuwrmzjuTQ2kX9sAS8XGeAjQkYypump,1,2,434865167,1784872666,434865171,1784872668,2.7,-0.0004,-1.0001481481481482,True,2
78r5iM9JVyLXx1giUwokGM6nPY2TTSzsyAZQ7jpipump,1,3,434864750,1784872492,434864758,1784872495,1.312,-0.0014,-1.0010670731707318,True,3
DCPsAxgeBgijgdueEsqhqTLVeDqjLJLRziQX5H3Hpump,1,2,434862834,1784871691,434862838,1784871692,1.3,-0.002,-1.0015384615384615,True,1
8f88CVcLrxrxbA9DfKV19rGt2FjBqRYUmro4D2Dupump,1,2,434862555,1784871575,434862560,1784871577,3.969,-0.0012000000000000001,-1.000302343159486,True,2
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1967,1866,405881278,1773305278,434862237,1784871439,7460.453083271,-238.015290513,-1.031903597255603,True,11566161
FrFtR67z6A5LZtQXeHqdVG37D2yXWZVtxhYbV8Wspump,1,2,434862237,1784871439,434862243,1784871441,,-0.0012000000000000001,,True,2
G1gc5dgBker2f6CY3954cWKQsx7BkRkTGAdMH5gTpump,1,2,434862059,1784871362,434862063,1784871364,1.5,-0.002,-1.0013333333333334,True,2
GK9D3z9KQdG36R96TeBTGTNxpPZwXjGtgwLi822hpump,1,8,434860920,1784870889,434860949,1784870901,3.5,-0.0032,-1.0009142857142856,True,12
5F9otw8hsNgBmfscEeoSVtD6KKsUh8vij2ZWrwbbpump,1,2,434859329,1784870225,434859333,1784870227,2.0,-0.0004,-1.0002,True,2
Etnfaw7p3ZXDH6Y63LwqHrVYi2b6hoaJ5SJ25vBjpump,1,2,434858136,1784869729,434858142,1784869732,3.0,-0.0004,-1.0001333333333333,True,3
9a94fW47pCb71KeY9iuTqSxUmzvcx2VFDkEPS6wppump,1,2,434856980,1784869237,434856986,1784869240,7.0,-0.0012000000000000001,-1.0001714285714285,True,3
957kXqLEhSYPgDw4N56mbgSRj3ZoBY2k1h9h2bhEpump,1,5,434854601,1784868243,434854612,1784868248,5.0,-0.0018,-1.0003600000000001,True,5
7g6C3fKBRugoeCLFHQkg7Zza1PHgaJZKzSe3Gynupump,1,7,434854161,1784868061,434854184,1784868070,6.0,-0.0038,-1.0006333333333333,True,9
GYWfe9TA21sSr2jQ3JjLH5zLGxh7T4DxFJ4r9bChpump,1,4,434851891,1784867110,434851901,1784867114,1.289925,-0.0032,-1.0024807643855265,True,4
A2bVgrN7d79JN3v9ZJwUKRaCEEbVZV7YyrEzzz9Apump,1,2,434849568,1784866137,434849574,1784866140,0.011,-0.0012000000000000001,-1.1090909090909091,True,3
CC2BQRXwRP2QJ6fkBZavsLuAGNdSvhYV6SCpcpyUpump,1,2,434843821,1784863731,434843825,1784863733,1.3,-0.0012000000000000001,-1.000923076923077,True,2
CdoAy78bFauNhonTp3HWoHR7iyRVKFUfCiyCCyUKpump,1,2,434843637,1784863653,434843644,1784863656,1.314925,-0.0004,-1.0003041998593076,True,3
GdBfnPHym9uvmZ25fuX8mW7tYMwZs9i5QSXzkgjRpump,1,3,434842100,1784863003,434842106,1784863006,1.512,-0.0014,-1.000925925925926,True,3
